rup,obj,P_hist,P_new,P_ccgt,P_ccgt_bioch4,P_won,P_wof,P_pv,P_ror,P_lake,P_cogen,P_charge,P_discharge,E_hist,E_new,E_ccgt,E_ccgt_bioch4,E_won,E_wof,E_pv,E_ror,E_lake,E_cogen,
0.017,7.00e+11,0,64143.30555278456,12283.735092577275,39961.17859235298,24566.83832213409,24460.698663375286,31499.058010562218,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,58.53634218119704,0.09479845864369169,9.644711145513043,8.095204291829674,11.178884952892377,5.727689920760985,3.5771874911053416,2.6765084655023124,0.39331498390923075,
0.018,7.00e+11,0,63939.74151582704,12336.039245570955,39857.68439153988,25284.190670561253,25311.22713697885,31276.085127864615,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,58.161384309281615,0.09400677341651964,9.447428138197436,8.331584477737055,11.567588484480803,5.687145231062613,3.5771874911053567,2.676508465502324,0.39331498390923236,
0.019,6.99e+11,0,63670.283914374384,12388.802767108718,39885.942972888944,26127.296481916845,25702.759012267936,31227.873144351397,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,57.83419423130116,0.09336751135349138,9.33471715117211,8.609402636226019,11.746524084378402,5.6783785151837805,3.577187491105343,2.6765084655023132,0.3933149839092308,
0.02,6.99e+11,0,63208.544119491286,12500.459025754557,39968.614081544,26827.4458378055,26635.727255844165,31105.567509075943,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,57.235149327543155,0.09395458412529344,9.301138346648873,8.840114134237744,12.172903755833007,5.656138842042294,3.577187491105336,2.6765084655023084,0.39331498390923014,
0.021,6.98e+11,0,62950.85343155104,12591.418322690703,39867.308836715034,27380.663682354134,27683.824022430006,30987.528662536464,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,56.75895691008732,0.09440078683155444,9.146630521025747,9.022409121113311,12.65189878922943,5.6346750283830005,3.5771874911053505,2.676508465502319,0.3933149839092317,
0.022,6.98e+11,0,62663.515451666986,12645.51627636308,39901.68120832535,28678.09427022748,27787.10709384881,30833.2681757365,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,56.39582773006535,0.0943971841209206,9.06789838096807,9.4499352653237,12.699100612401338,5.606624785257624,3.5771874911053296,2.676508465502304,0.3933149839092294,
0.023,6.97e+11,0,62454.79027720841,12721.226170157057,39808.04907060099,29962.53979395095,28052.480255341114,30915.361694011794,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,55.990540281317934,0.09439705003999495,8.921153225350182,9.873182603052953,12.820379897295616,5.62155241315773,3.577187491105336,2.6765084655023084,0.39331498390923014,
0.024,6.97e+11,0,62264.60468072508,12774.80226100038,39675.909122640216,31208.716586740033,28577.644220279686,31233.51236867555,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,55.47791989166676,0.09337936238030692,8.734830005938612,10.283819722452906,13.060387250570601,5.679403934049066,3.5771874911053483,2.6765084655023177,0.3933149839092314,
0.025,6.96e+11,0,61796.54061504231,12811.97478945184,39905.599113661454,32326.209021290393,28830.518033519213,31440.626473279015,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,54.92247050605435,0.09255091522238493,8.766897036379838,10.65205308783912,13.175954156680113,5.717064913275373,3.5771874911053403,2.676508465502311,0.3933149839092305,
0.026,6.96e+11,0,61422.43980422317,12897.476039823818,39998.55560398201,33097.41386956917,29316.20788243944,31863.945734899575,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,54.404090536607455,0.09260935975677655,8.733992976690452,10.906178617376263,13.397921281110452,5.794039960187403,3.577187491105332,2.6765084655023053,0.3933149839092296,
0.027,6.95e+11,0,61385.07496197277,12947.132395476154,39791.817810649634,34424.55527582671,29372.6758814104,31841.06066503584,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,54.16651405030657,0.09262904707573594,8.521826969088986,11.343494997568392,13.423727954611628,5.789878610855935,3.5771874911053354,2.676508465502308,0.39331498390923003,
0.028,6.95e+11,0,61201.71893191634,12992.61159160604,39667.93079268176,35277.220790594845,30158.738959330065,31624.156723682536,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,53.72988976854251,0.09298585967467318,8.364565142992415,11.624463246072278,13.782969889386754,5.750437478418094,3.577187491105352,2.67650846550232,0.39331498390923175,
0.029,6.95e+11,0,60886.126490932504,13019.873528763354,39787.30609911716,36269.58209995264,30330.05438792027,31875.244682916513,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,53.304592614458,0.0923023373953647,8.339740944378661,11.95146371008071,13.861263461177995,5.79609452545887,3.577187491105347,2.676508465502317,0.39331498390923136,
0.03,6.94e+11,0,60372.71507743914,13033.13892937655,40066.61329506743,36694.88019475885,31216.78702504652,32249.717132181067,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,52.632890681597075,0.09120897910447848,8.395933827438496,12.091606894858426,14.266512807111518,5.86418742120631,3.577187491105353,2.6765084655023212,0.3933149839092319,
0.031,6.94e+11,0,60245.142799369176,13052.548318571091,39986.08799158857,36196.21708470754,32629.815512026846,32400.25169817761,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,52.29974959338677,0.09120671045744967,8.232138337373385,11.927288650250233,14.9122867937214,5.891560154578032,3.577187491105334,2.676508465502307,0.39331498390922986,
0.032,6.93e+11,0,59716.256846618795,13058.435048072632,40348.69342932441,35892.44333385576,33739.636845964866,32493.956473668386,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,51.76353278576944,0.09096177432421346,8.34113324169532,11.827189869145666,15.419490826651863,5.908599137074811,3.5771874911053563,2.6765084655023235,0.3933149839092323,
0.033,6.93e+11,0,59145.00801592847,13031.42998485966,40823.82779752434,35716.447739099385,34548.06925405149,32814.962805304414,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,51.23454786050521,0.08985799172430348,8.496756427797198,11.769196232547658,15.78895586142297,5.966969921673983,3.577187491105347,2.6765084655023164,0.39331498390923125,
0.034,6.93e+11,0,58752.72541597921,13050.936774972059,41146.92681695386,34742.41894950602,35560.79958261814,33052.21242838919,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,50.96181158008625,0.09041701874414651,8.58518882919499,11.448236655475155,16.2517879328676,6.010110649069459,3.5771874911053616,2.6765084655023275,0.3933149839092329,
