rup,obj,P_hist,P_new,P_ccgt,P_ccgt_bioch4,P_won,P_wof,P_pv,P_ror,P_lake,P_cogen,P_charge,P_discharge,E_hist,E_new,E_ccgt,E_ccgt_bioch4,E_won,E_wof,E_pv,E_ror,E_lake,E_cogen,
0.001,7.60e+11,0,44666.85540107773,26604.409333703945,63000.63091921341,153.0,23844.75678624668,30969.608662539915,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,45.331144075557596,0.1964746664821573,30.873313026257815,0.050416184631053004,10.897390810928249,5.63141651178462,3.5771874911053407,2.676508465502312,0.39331498390923064,
0.002,7.55e+11,0,47458.739107956724,26166.966904127723,59320.35913667818,153.0,26242.796860373233,29379.6454479366,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,47.12413654320188,0.2105834430334458,28.264916303024368,0.05041618463105296,11.993329012449234,5.342302587310745,3.577187491105339,2.67650846550231,0.39331498390923036,
0.003,7.51e+11,0,51119.496468666286,25760.350563317665,54933.57462031487,153.0,28470.831604537994,30032.946245922143,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,49.28281134475975,0.2169109764564683,24.989887639271945,0.050416184631052886,13.011572375765637,5.461096755523387,3.577187491105333,2.6765084655023057,0.39331498390922975,
0.004,7.47e+11,0,53540.485782274634,25290.03979687373,52819.733917642894,153.0,30681.20413513888,29968.729119792228,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,50.764379813098714,0.18834326527637368,22.52644346100081,0.05041618463105281,14.021743857891664,5.449419714706752,3.577187491105328,2.676508465502302,0.39331498390922914,
0.005,7.44e+11,0,54450.0,24963.587394826467,51732.472490367,383.8691426543701,32661.13338507439,31247.1074612829,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,51.10983392937053,0.17511613072361742,20.969730992643978,0.12649161810605744,14.926599504269328,5.681876023051623,3.577187491105349,2.676508465502318,0.39331498390923153,
0.006,7.42e+11,0,54450.0,24586.1408704747,51000.0,1905.6861460531145,33572.33565976036,32113.0794796673,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,50.884802404141425,0.17430173767287405,20.120693001208558,0.6279570234526389,15.343031820357675,5.83934165899852,3.5771874911053465,2.676508465502316,0.39331498390923114,
0.007,7.39e+11,0,54450.0,24269.405532868648,50353.186278781664,3327.8145940695877,34226.66451150702,33420.92342481851,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,50.603875813667976,0.1732608922204307,19.40723001516324,1.09657330060474,15.642069352183613,6.077155900302475,3.577187491105348,2.6765084655023172,0.3933149839092314,
0.008,7.37e+11,0,54445.28975448324,24024.94651372375,49830.85503268057,4153.0,34964.60856404851,34826.62752132453,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,50.34779365900637,0.17439473427149446,18.80932452098537,1.3684863710638102,15.979320212371977,6.332764724618093,3.5771874911053367,2.676508465502309,0.39331498390923014,
0.009,7.35e+11,0,54302.52346692145,23921.003123750874,49429.78217327753,5014.049288513246,35661.8090503688,36094.7008911349,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,49.98776350561276,0.1766772423549028,18.353984287488633,1.6522172201234178,16.297950687033897,6.563347209231199,3.5771874911053283,2.6765084655023026,0.39331498390922925,
0.01,7.33e+11,0,54154.23270106828,23855.68179343174,49173.948784545966,6089.899057406103,36133.28321292273,36467.546110994845,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,49.74279379141151,0.17522760219106676,17.98009172042053,2.0067285964879797,16.513421041907442,6.631144214687035,3.5771874911053327,2.6765084655023053,0.3933149839092297,
0.011,7.32e+11,0,54026.09407242691,23787.250635128752,48784.58764098139,7320.852850991041,36535.98422224943,36882.234057762755,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,49.462025823172354,0.17613885914690375,17.609812141867938,2.4123494705381527,16.69746109389586,6.706549770376002,3.5771874911053625,2.676508465502328,0.393314983909233,
0.012,7.30e+11,0,53916.49222594437,23706.485268717992,48534.98850827979,8153.0,37134.751331703206,37252.62353038361,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,49.21314711962506,0.17508654886260383,17.255301140941835,2.6865565574965675,16.97110612432905,6.7739002304555855,3.577187491105339,2.67650846550231,0.39331498390923036,
0.013,7.29e+11,0,53777.67656946248,23663.9482278303,48319.07041198088,9293.798565170182,37188.1806022431,37545.315858305,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,49.044223646403026,0.174727935338352,16.979973329589498,3.062469701865587,16.995524055995748,6.827122485418174,3.5771874911053345,2.676508465502307,0.3933149839092299,
0.014,7.28e+11,0,53762.29848173957,23520.97593224454,47919.34011632747,10785.993447425886,37270.36951701903,37830.71812799267,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,48.835387814579114,0.17328627150082745,16.617916953483885,3.5541740985277737,17.033085551492157,6.8790191390547415,3.5771874911053345,2.676508465502307,0.3933149839092299,
0.015,7.27e+11,0,53748.402006738674,23386.51882734646,47560.398558544926,12688.431699147992,37129.01591205033,38005.40131951576,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,48.601317637952626,0.1691104188931698,16.269165497741923,4.181060883808835,16.968484956498287,6.910782982756938,3.57718749110535,2.6765084655023186,0.3933149839092316,
0.016,7.25e+11,0,53747.65201203666,23298.228995515838,47137.693476530214,14412.715675763742,36953.6831432114,37915.06671567004,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,48.464394588160445,0.16838298187137157,15.94103466529668,4.749242709439077,16.888355403442752,6.894356821702549,3.5771874911053514,2.6765084655023195,0.39331498390923175,
0.017,7.24e+11,0,53770.01119843774,23210.16075123371,46743.85345648385,16035.549201838396,36910.85158845513,37903.67350683081,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,48.306752514443595,0.16660390303635783,15.594467619263336,5.283994831504727,16.86878077764967,6.892285116338817,3.577187491105359,2.6765084655023252,0.39331498390923253,
0.018,7.23e+11,0,53781.66797877246,23196.047182943672,46381.08302862617,17538.049357638498,36869.861028930725,37786.356174690205,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,48.174549588504675,0.16569381645830167,15.27849780059291,5.779094996622373,16.85004751269324,6.870952500594941,3.5771874911053443,2.6765084655023146,0.393314983909231,
0.019,7.23e+11,0,53836.423131304444,23138.222356499602,45934.289335291505,18779.37194699665,37025.975653721565,37703.993434939235,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,48.06297798859309,0.16681406052698688,14.931323046320527,6.18813257081702,16.92139410233974,6.855975918306077,3.5771874911053554,2.676508465502323,0.3933149839092322,
0.02,7.22e+11,0,53877.14523693575,23099.076805647317,45593.06073814914,20267.807836285014,37056.362594184946,37818.98312007115,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,47.882948048795726,0.16456731472401964,14.594852464736686,6.678598313338892,16.935281363541286,6.876885282017851,3.5771874911053527,2.6765084655023204,0.39331498390923186,
0.021,7.21e+11,0,53948.20257026005,23026.785971026176,45165.82603264766,21505.929677000684,37202.08673106755,37703.986333519635,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,47.77752161980212,0.16544035389611517,14.255117583518862,7.086581184693549,17.00187935338159,6.855974627006199,3.577187491105352,2.67650846550232,0.39331498390923175,
0.022,7.20e+11,0,54049.663258245346,22921.09206307298,44881.321286121674,22474.2798510333,37301.073235807286,37916.54179294935,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,47.73008544849769,0.1631471952729128,13.91292492242715,7.405669558298412,17.04711758486482,6.894625045128885,3.5771874911053616,2.6765084655023275,0.3933149839092329,
0.023,7.20e+11,0,54173.39743974464,22792.41696870498,44575.24190910427,23862.389827866205,37090.131471228255,38115.59620508709,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,47.691367706390615,0.15956501576380946,13.568101208359467,7.8630761522866965,16.950714217551266,6.930820475154141,3.5771874911053403,2.676508465502312,0.39331498390923053,
0.024,7.19e+11,0,54258.75171051448,22700.83293857518,44367.48985797823,25130.22384014855,36720.61947313287,38184.059424659514,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,47.7253884329891,0.15654301402326876,13.28677700206105,8.280849705520412,16.781842012702707,6.943269612285707,3.5771874911053527,2.6765084655023204,0.39331498390923186,
0.025,7.18e+11,0,54383.78517665551,22576.840787974994,44181.541487764756,27680.244860225164,36327.08972448561,38041.211297238915,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,47.48705378736432,0.14412297615437317,12.911436072392993,9.12112637585534,16.60199335644755,6.917294556798232,3.577187491105337,2.6765084655023093,0.3933149839092302,
0.026,7.18e+11,0,54382.34968567722,22568.750968655615,44169.19040225016,30019.495210843488,36165.500037928374,37902.69016639226,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,47.126572669259744,0.13122821389053455,12.619666372952146,9.891950412293513,16.528144586203762,6.892106308797452,3.577187491105365,2.67650846550233,0.39331498390923325,
0.027,7.17e+11,0,54380.7776732745,22570.13738132228,44124.076018559936,30042.968667378387,36358.90670241093,37803.13838131698,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,47.226516201166085,0.1314347529484578,12.449005585778801,9.899685328101269,16.61653416497772,6.8740041244153325,3.577187491105353,2.6765084655023212,0.3933149839092319,
0.028,7.17e+11,0,54379.703328865464,22570.44371682263,44092.11188551254,29984.306733100882,36642.102292672185,37511.62149438096,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,47.339451924744786,0.131559275171857,12.286020971671634,9.880355191438888,16.745958551675134,6.82099560795511,3.577187491105363,2.676508465502329,0.3933149839092331,
0.029,7.17e+11,0,54378.62926659694,22570.441496859625,44087.64795051751,30136.871087400326,36850.822383649785,37056.1294531228,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,47.439858119613675,0.1302731235163324,12.132853986385822,9.930627823167429,16.841346582757286,6.738170363694541,3.577187491105339,2.67650846550231,0.39331498390923036,
0.03,7.16e+11,0,54377.55548635779,22572.030098853254,44041.38397906473,30249.299020355396,37241.258240722396,36416.64893993614,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,47.51029187091178,0.12972195720715918,11.97311791261386,9.967674799805053,17.01978128684185,6.6218892327263426,3.577187491105359,2.6765084655023252,0.39331498390923253,
0.031,7.16e+11,0,54376.48198803694,22571.16316829543,44047.50052110601,30223.587377290944,37389.10041013327,36258.42476302095,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,47.62242493991249,0.1292012328597727,11.83941524765046,9.95920236226316,17.087347247478256,6.593118244621396,3.5771874911053416,2.6765084655023124,0.39331498390923075,
0.032,7.16e+11,0,54379.354721386015,22568.43474107455,43977.28544006895,30318.50778799376,37879.69246626119,35511.864202053126,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,47.66459022439165,0.12912829903382395,11.685790342889117,9.990480303121029,17.31155474987759,6.457366013590922,3.5771874911053554,2.676508465502323,0.3933149839092322,
0.033,7.15e+11,0,54378.536208660415,22569.98899279436,43947.83670228897,30152.345972046314,38154.22174790076,35363.5928661277,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,47.74793987139512,0.12965756294284034,11.565687521701811,9.935727069190026,17.437018511067777,6.430404818877287,3.5771874911053403,2.676508465502311,0.3933149839092305,
0.034,7.15e+11,0,54377.81103920887,22569.86181892428,43883.3989568153,30267.979793809453,38187.290324822236,35179.01899632792,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,47.8404504676953,0.13098528935148981,11.458692678052202,9.973830442442358,17.45213131802596,6.3968424852566015,3.577187491105347,2.6765084655023164,0.39331498390923125,
0.035,7.15e+11,0,54377.0859983437,22572.4898961777,43910.42754806856,30183.976611805625,38566.77674549629,34795.0127748369,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,47.89166039170571,0.12946054006793906,11.339572477639807,9.946149920001154,17.62556197494546,6.327015998267487,3.577187491105338,2.6765084655023097,0.3933149839092303,
0.036,7.14e+11,0,54374.30103671248,22576.49261695246,43891.64344753208,29965.49204920884,39045.76592091042,34448.5274302372,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,47.931079953853626,0.12934881040961502,11.22301871729546,9.874155422962575,17.844466796893826,6.264012189858731,3.5771874911053656,2.6765084655023306,0.3933149839092333,
0.037,7.14e+11,0,54371.62677390519,22564.789939861163,43876.0616352725,30144.206473606224,39011.174658996635,34273.29972637827,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,48.012288046521064,0.12941139263674137,11.135303294517238,9.933044961633444,17.828658101376433,6.232149333741095,3.577187491105347,2.6765084655023164,0.39331498390923125,
